ID,Title,Location,Salary,Summary
072e19aecc5926bb,[메가존] 2020년 상반기 구글클라우드 직무별,메가존 서울 강남구,,"이터 가공 경험 (개발 언어를 일정 수준 다룰 수 있어야 함 eg : Java, Python) 또는 On Prem 의 서버 운영 경험 이나 VM... 통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프..."
25b4adbf8d57ee3c,2020년 상반기 개발자 및 PM 경력직원,㈜정도유아이티 서울 강남구,,"모집분야] - 웹프로그램 개발자( Java) ﻿ [담당업무] - 공간정보... 담당업무] - JAVA + CS 프로그램 개발 - 자체 보유 엔진 개발 * Back End : Java(Spring Framework, mybatis..."
f1654437c1134807,모바일앱 제작 아르바이트,엘에스비그룹 서울 강남구,"시급 9,000원","(주)엘에스비그룹 | 무역(수출, 수입), 컨설팅, 전자상거래 | java,visual C,C#,웹프로그래머,응용프로그래머,시스템프로그래머,IT·디자인 기타 | 아르바이트,계약직 | 3개월~6개월 | 월~토 | 조일근무..."
07ad62f8295ca37f,2020년 분야별[신입/경력] 정규직,제이스퓨처 서울 구로구,,"무관 기타 담당업무 기획/마케팅, 개발- JAVA, JSP, PHP, C#... 웹마케팅.PM스토리보드 콘텐츠.사이트운영사이트운영 웹프로그래머JSP, JAVA, PHP 응용프로그래머응용프로그래머, C#, 안드로이드 산업별(업종..."
b55d3d20f915df43,(주)신세계아이앤씨 상반기 시스템운영/개발 부문 인재,신세계아이앤씨 서울 중구,,"그룹시스템 운영/개발 인원 00명 필수사항 -. Programming : Java, JSP, JavaScript, SQL, Shell Script 등... 통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임..."
6ae8d397481c8472,(주)신세계아이앤씨 상반기 Infra/Server/Network/보안 부...,신세계아이앤씨 서울 중구,,"API 설계/개발, Container 기반 개발 등) -. 서버 가상화 Infra-Structure 이해 -. Java 개발 또는 Cording 개발 경험자 ※ 상기 요건 中 일부 경험자 지원가능 우대사항 -. 2개 이상..."
87c43e2a35c1e82f,"IT기술지원, S/W 엔지니어 외 신입/경력 정규직",지엑스에스 서울 종로구,,"관련 소프트웨어, B2B 분야 지원 업무 경력 선호. MS 윈도우즈/오피스, 리눅스/유닉스 운영 체제, Java 사용 기술. 데이터베이스, 네트워킹 관련 지식 보유자. (Oracle, SQL*Server, Firewalls..."
96379adfe8f3ae4e,JAVA Nexacro 인사시스템 개발-잠실,연우정보기술 서울 송파구,,"업무 자격요건 인원 [담당업무] [웹프로그래밍] 대기업 인사업무개발 잠실 JAVA 중급 20.4.1~6,8개월 [자격요건] 경력사항: 경력(6년 이상... 통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프..."
5b535959b55b796c,1분기 Software Engineer,이스트게임즈 서울 서초구,,"C/C++, C#, Swift, Objective C, Kotlin, Java, JavaScript, Python, Go. - 새로운 프로그래밍 언어... 통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임..."
696b655cc6ce3076,"JAVA, 웹개발자",캐디언스시스템글로벌 경기도 광명,"연봉 22,000,000원 - 24,000,000원","지원자격 경력 신입·경력 학력 - 성별 무관 기타 담당업무 아래와 같은 소프트웨어를 JAVA 등의 프로그래밍언어를 이용하여 개발합니다. -MES/POP -PLM -문서중앙화, ECM -기타 상세모집요강 접수기간/방법 지원..."
